Transaction_ID,Transaction_Date,Revenue,Expenses,Profit,Category,Department,Manager_Name,Region
1,2020-04-01,23610.6,16729.05,6881.55,Sales Revenue,Finance,Jane Smith,Asia-Pacific
2,2019-04-13,21612.41,8717.64,12894.77,Sales Revenue,Operations,Sarah Brown,Asia-Pacific
3,2022-01-31,1444.42,15193.23,-13748.81,Sales Revenue,Sales,David Green,Europe
4,2021-09-30,13146.6,2315.81,10830.79,Marketing Expenses,Sales,Jane Smith,Asia-Pacific
5,2021-07-03,12589.6,6671.67,5917.93,Sales Revenue,Finance,Jane Smith,Asia-Pacific
6,2020-07-25,4990.15,12469.78,-7479.63,Operating Expenses,Operations,John Doe,Asia-Pacific
7,2020-02-24,12420.57,4630.47,7790.1,Sales Revenue,Sales,David Green,South America
8,2019-12-23,26453.12,10298.79,16154.33,Sales Revenue,Sales,David Green,Asia-Pacific
9,2023-09-25,10536.94,14479.09,-3942.15,Marketing Expenses,Finance,John Doe,North America
10,2019-05-11,11260.43,8432.94,2827.49,Sales Revenue,Sales,Jane Smith,Asia-Pacific
11,2019-05-03,24864.21,2951.99,21912.22,Marketing Expenses,Operations,Sarah Brown,South America
12,2020-01-19,23661.9,8500.94,15160.96,Sales Revenue,Operations,Jane Smith,South America
13,2021-06-14,17341.66,13452.45,3889.21,Operating Expenses,Operations,David Green,Europe
14,2021-08-10,22747.31,19192.81,3554.5,Sales Revenue,Finance,Sarah Brown,Asia-Pacific
15,2024-08-31,6767.48,2876.87,3890.61,Sales Revenue,Operations,Sarah Brown,North America
16,2019-04-19,13538.62,7249.95,6288.67,Marketing Expenses,Sales,John Doe,South America
17,2021-03-25,23975.84,13501.04,10474.8,Sales Revenue,Operations,Sarah Brown,Europe
18,2023-09-15,1002.38,3382.88,-2380.5,Marketing Expenses,Marketing,Sarah Brown,Asia-Pacific
19,2021-06-21,602.34,5488.67,-4886.33,Operating Expenses,Marketing,Jane Smith,North America
20,2024-01-14,7833.83,13304.54,-5470.71,Sales Revenue,Finance,John Doe,South America
21,2022-02-13,3141.75,15764.41,-12622.66,Sales Revenue,Sales,David Green,Asia-Pacific
22,2019-01-27,10254.25,12777.72,-2523.47,Marketing Expenses,Marketing,John Doe,Asia-Pacific
23,2020-10-15,26637.94,5008.45,21629.49,Sales Revenue,Finance,David Green,South America
24,2023-09-28,4827.13,7806.92,-2979.79,Marketing Expenses,Operations,David Green,Europe
25,2022-10-25,2250.07,7691.79,-5441.72,Operating Expenses,Marketing,David Green,Europe
26,2022-02-12,28255.02,17209.91,11045.11,Sales Revenue,Finance,David Green,Europe
27,2020-09-28,29341.25,16397.79,12943.46,Operating Expenses,Sales,David Green,North America
28,2021-05-31,10138.52,6886.26,3252.26,Marketing Expenses,Sales,David Green,North America
29,2022-10-10,29558.28,14563.42,14994.86,Sales Revenue,Operations,David Green,North America
30,2020-02-23,26796.79,8525.41,18271.38,Marketing Expenses,Marketing,David Green,Europe
